SFIRST    SLAST     ADVFIRST  ADVLAST     STIME1    STIME2    STIME3    STIME4
Gabrielle Clark     Brian     Lewis      10190245  10210800  10210415  10200130
Wanda     Hughes    Adrian    Harris     10190445  10210915  10190415  10190845
Charles   Nolan     Brian     Lewis      10210800  10210415  10190200  10190215
Virginia  Newman    Nicola    Wright     10200300  10190200  10200300  10200300
Chloe     Tucker    Robert    Anderson   10191145  10191030  10191000  10200430
Vanessa   Scott     Brian     Lewis      10200145  10210400  10210800  10200130
Boris     Burgess   Nicola    Wright     10200345  10190215  10211030  10190230
Maria     Buckland  Brian     Lewis      10190245  10200130  10210830  10200145
Jake      Poole     Brian     Springer   10190930  10200130  10210300  10190915
Grace     Sanderson Elizabeth Short      10200845  10200845  10191045  10211115
John      Dickens   Elizabeth Short      10211130  10211115  10190445  10211130
Charles   Anderson  Elizabeth Short      10191015  10200830  10211115  10190430
Vanessa   Sharp     Julian    Ogden      10210945  10210945  10210230  10190915
Heather   Powell    Robert    Anderson   10200400  10191130  10210900  10210900
Wanda     Wright    Julian    Ogden      10190915  10190930  10190930  10210930
Michael   Edmunds   Elizabeth Short      10190415  10191045  10191030  10190400
Colin     MacDonald Liam      Mackay     10211045  10200100  10211000  10200115
Audrey    Morgan    Julian    Ogden      10200930  10200930  10190930  10190900
Blake     Vance     Elizabeth Short      10190415  10191000  10211100  10190415
Jan       Smith     Nicola    Wright     10211015  10200315  10211045  10190915
Ryan      Pullman   Brian     Lewis      10200115  10210800  10200130  10210415
Amelia    Ogden     Nicola    Wright     10190930  10211030  10211015  10190230
Olivia    Ball      Robert    Anderson   10191130  10191115  10210900  10210945
Sue       Wilson    Robert    Anderson   10200445  10191030  10191015  10191045
Katherine Berry     Liam      Mackay     10211015  10211000  10201200  10191100
Oliver    Brown     Brian     Lewis      10210830  10190215  10210415  10210415
Hannah    Mackay    Nicola    Wright     10190230  10190900  10200315  10211030
Steven    May       Nicola    Wright     10200345  10211000  10200315  10190945
Carl      Peters    Robert    Anderson   10191115  10191045  10191145  10191000
Joshua    Dickens   Adrian    Harris     10190445  10210945  10190430  10190845
Claire    Duncan    Liam      Mackay     10211000  10211015  10191100  10211015
Dorothy   Marshall  Adrian    Harris     10190845  10201130  10190830  10210915
John      Taylor    Liam      Mackay     10200130  10200145  10200130  10191100
Sean      McGrath   Julian    Ogden      10200930  10210900  10210945  10210215
Tim       Vance     Liam      Mackay     10201245  10191100  10191100  10191115
Gabrielle Hill      Adrian    Harris     10210930  10190415  10190400  10201115
Felicity  Lambert   Elizabeth Short      10211115  10200800  10191000  10191015
Hannah    Peake     Julian    Ogden      10190930  10190945  10200945  10190900
Caroline  Hunter    Nicola    Wright     10200345  10190230  10200330  10211000
Carolyn   Mitchell  Liam      Mackay     10211000  10200100  10211045  10200130
Angela    Robertson Liam      Mackay     10191130  10201245  10211045  10211015
Richard   Randall   Robert    Anderson   10191030  10200445  10200445  10191130
Alan      Underwood Nicola    Wright     10211000  10200330  10211015  10190945
$
